target,feature_set,n_rows,n_groups,n_features_raw,cv_kind,model,mae_mean,test_r2_mean
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,shuffled,Gradient Boosting,110.5874192596356,0.5506958814715319
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,grouped,Baseline mean,174.93270568636422,-0.00758646217742065
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,shuffled,Baseline mean,175.21208182706442,-0.010736719160514996
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,grouped,Ridge,124.06106827312769,0.47301796174808597
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,shuffled,Ridge,116.6538417283473,0.5202625630924513
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,grouped,Random Forest,124.46854196781622,0.41342504745563113
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,shuffled,Random Forest,114.3912171097647,0.5197893499914318
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,grouped,Extra Trees,125.74088402534055,0.44573557128818464
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,shuffled,Extra Trees,118.02780191810848,0.5128527281462494
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,grouped,Gradient Boosting,123.0644220913261,0.4244222983340603
cycling_reversible_capacity_mah_g,F_surface_assisted_stable_plus_first_capacity_diagnostic,123,37,9,shuffled,Gradient Boosting,110.44970032134113,0.5500921262545009
coulombic_efficiency_pct,B_composition_T_time,205,45,6,grouped,Baseline mean,10.357536268938608,-0.053297781213943685
coulombic_efficiency_pct,B_composition_T_time,205,45,6,shuffled,Baseline mean,10.040899743741106,-0.020048880710318295
coulombic_efficiency_pct,B_composition_T_time,205,45,6,grouped,Ridge,9.422551525242007,0.14477396001879406
coulombic_efficiency_pct,B_composition_T_time,205,45,6,shuffled,Ridge,8.946649565455282,0.20921060715166773
coulombic_efficiency_pct,B_composition_T_time,205,45,6,grouped,Random Forest,8.075268240139447,0.32378022838200904
coulombic_efficiency_pct,B_composition_T_time,205,45,6,shuffled,Random Forest,7.180653691455924,0.43419457338748113
coulombic_efficiency_pct,B_composition_T_time,205,45,6,grouped,Extra Trees,8.515958270866056,0.29230788880703784
coulombic_efficiency_pct,B_composition_T_time,205,45,6,shuffled,Extra Trees,7.469063744654469,0.4097162804382056
coulombic_efficiency_pct,B_composition_T_time,205,45,6,grouped,Gradient Boosting,8.080796490479285,0.34446660622786707
coulombic_efficiency_pct,B_composition_T_time,205,45,6,shuffled,Gradient Boosting,6.940566464111173,0.47870671899351014
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,grouped,Baseline mean,10.357536268938608,-0.053297781213943685
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,shuffled,Baseline mean,10.040899743741106,-0.020048880710318295
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,grouped,Ridge,8.019006692599485,0.38781893890002095
